,locality,category_main_cb,furnished,object_type,parking_lots,price_summary_unit_cb,locality_street_id,terrace,balcony,locality_district_id,locality_ward_id,loggia,category_sub_cb,building_type,elevator,locality_gps_lat,basin,locality_region_id,category_type_cb,hash_id,cellar,object_kind,locality_gps_lon,usable_area,locality_quarter_id,ownership,locality_municipality_id,low_energy,easy_access,building_condition,locality_country_id,garage,room_count_cb,energy_efficiency_rating_cb,price_summary_czk,garden_area,estate_area
1661,Praha 2 - Nové Město,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,5002.0,14959.0,0.0,47.0,7.0,1.0,50.0762139777809,0.0,10.0,2.0,2048030028.0,0.0,0.0,14.4166574020683,18.0,88.0,2.0,3468.0,0.0,2.0,9.0,112.0,0.0,6.0,0.0,16500.0,,
1662,Praha 2 - Nové Město,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,5002.0,14959.0,0.0,47.0,7.0,1.0,50.0762139777809,0.0,10.0,2.0,689075532.0,0.0,0.0,14.4166574020683,12.0,88.0,2.0,3468.0,0.0,2.0,9.0,112.0,0.0,6.0,0.0,15500.0,,
1663,"Silurská, Praha 5 - Hlubočepy",1.0,1.0,0.0,0.0,2.0,125604.0,0.0,1.0,5005.0,13685.0,0.0,2.0,2.0,1.0,50.0349914,0.0,10.0,2.0,3960632652.0,0.0,0.0,14.3858697,42.0,97.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,17500.0,,
1664,"Novákových, Praha 8 - Libeň",1.0,1.0,0.0,0.0,2.0,121178.0,0.0,1.0,5008.0,14955.0,0.0,4.0,6.0,1.0,50.1042678554462,0.0,10.0,2.0,343553356.0,0.0,0.0,14.4777329569378,56.0,115.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,22000.0,,
1665,"Divišovská, Praha 4 - Chodov",1.0,0.0,0.0,0.0,2.0,123874.0,0.0,1.0,5004.0,13679.0,0.0,4.0,2.0,1.0,50.0436259076994,0.0,10.0,2.0,1244595532.0,1.0,0.0,14.5027549626221,57.0,91.0,1.0,3468.0,0.0,1.0,6.0,112.0,0.0,0.0,2.0,20500.0,,
1666,"Podvinný mlýn, Praha 9 - Libeň",1.0,3.0,0.0,0.0,2.0,121519.0,0.0,0.0,5009.0,14955.0,0.0,4.0,2.0,1.0,50.1087879,0.0,10.0,2.0,1343386956.0,0.0,0.0,14.4864587,63.0,119.0,1.0,3468.0,0.0,1.0,6.0,112.0,0.0,0.0,7.0,22000.0,45.0,
1667,"Anny Letenské, Praha 2 - Vinohrady",1.0,1.0,0.0,0.0,2.0,120355.0,0.0,0.0,5002.0,14967.0,0.0,4.0,2.0,0.0,50.0778620542278,0.0,10.0,2.0,118650188.0,0.0,0.0,14.4378961106007,70.0,88.0,1.0,3468.0,0.0,2.0,1.0,112.0,0.0,2.0,0.0,22999.0,,
1668,"Pod dvorem, Praha 6 - Veleslavín",1.0,2.0,0.0,1.0,2.0,121372.0,1.0,0.0,5006.0,13696.0,0.0,8.0,2.0,1.0,50.094564,0.0,10.0,2.0,4145182028.0,1.0,0.0,14.349502,120.0,107.0,1.0,3468.0,1.0,0.0,6.0,112.0,1.0,0.0,2.0,48000.0,,
1669,"Prusická, Praha 10 - Strašnice",1.0,0.0,0.0,0.0,2.0,121578.0,0.0,0.0,5010.0,14963.0,0.0,4.0,2.0,0.0,50.0635747845013,0.0,10.0,2.0,2112816460.0,0.0,0.0,14.5081238736683,47.0,132.0,1.0,3468.0,0.0,0.0,6.0,112.0,0.0,0.0,7.0,22500.0,,
1670,"Sudoměřská, Praha 3 - Žižkov",1.0,1.0,0.0,1.0,2.0,121977.0,1.0,0.0,5003.0,14971.0,0.0,6.0,2.0,1.0,50.079882996032,0.0,10.0,2.0,39417164.0,0.0,0.0,14.4587651064809,115.0,89.0,1.0,3468.0,0.0,0.0,6.0,112.0,1.0,0.0,7.0,35900.0,,
1671,"Zelenky-Hajského, Praha 3 - Žižkov",1.0,2.0,0.0,0.0,2.0,122891.0,0.0,1.0,5003.0,14971.0,0.0,2.0,2.0,1.0,50.0893497581492,0.0,10.0,2.0,422737228.0,1.0,0.0,14.4670069394261,44.0,89.0,2.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,16000.0,,
1672,"Kovářská, Praha 9 - Libeň",1.0,1.0,0.0,0.0,2.0,120232.0,0.0,0.0,5009.0,14955.0,0.0,2.0,2.0,1.0,50.1069151899967,0.0,10.0,2.0,3996284236.0,1.0,0.0,14.4906173573442,20.0,119.0,1.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,7.0,13500.0,,
1673,"Dělnická, Praha 7 - Holešovice",1.0,1.0,0.0,0.0,2.0,119474.0,0.0,0.0,5007.0,14951.0,0.0,16.0,5.0,1.0,50.1028942237357,0.0,10.0,2.0,1812276556.0,0.0,0.0,14.4446976300916,17.0,113.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,12700.0,,
1674,"Karla Engliše, Praha 5 - Smíchov",1.0,1.0,0.0,1.0,2.0,146164.0,0.0,0.0,5005.0,13687.0,0.0,4.0,2.0,1.0,50.0700618350557,0.0,10.0,2.0,1990464844.0,1.0,0.0,14.4023236393333,50.0,97.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,0.0,22000.0,,
1675,"V. P. Čkalova, Praha 6 - Bubeneč",1.0,0.0,0.0,0.0,2.0,119460.0,0.0,0.0,5006.0,14947.0,0.0,5.0,2.0,0.0,50.0993208101201,0.0,10.0,2.0,1714582860.0,0.0,0.0,14.3999140548734,62.0,107.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,25000.0,,
1676,"Hanusova, Praha 4 - Michle",1.0,3.0,0.0,0.0,2.0,119662.0,0.0,1.0,5004.0,14958.0,0.0,4.0,2.0,1.0,50.048935,0.0,10.0,2.0,1412592972.0,1.0,0.0,14.444498,50.0,90.0,1.0,3468.0,0.0,0.0,6.0,112.0,1.0,0.0,3.0,19500.0,,
1677,"Bermanova, Praha 9 - Čakovice",1.0,2.0,0.0,0.0,2.0,5184062.0,0.0,1.0,5009.0,13712.0,0.0,2.0,2.0,1.0,50.1563321700308,0.0,10.0,2.0,36336972.0,0.0,0.0,14.5161014520433,42.0,122.0,1.0,3468.0,0.0,0.0,6.0,112.0,1.0,0.0,2.0,14900.0,,
1678,"Silurská, Praha 5 - Hlubočepy",1.0,1.0,0.0,0.0,2.0,125604.0,0.0,1.0,5005.0,13685.0,0.0,4.0,2.0,1.0,50.0349915,0.0,10.0,2.0,1528984908.0,0.0,0.0,14.3858697,42.0,97.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,20000.0,,
1679,"Na Jarově, Praha 3 - Žižkov",1.0,0.0,0.0,0.0,2.0,120692.0,0.0,0.0,5003.0,14971.0,1.0,7.0,5.0,1.0,50.08875166666,0.0,10.0,2.0,2490107212.0,0.0,0.0,14.48952583333,90.0,89.0,2.0,3468.0,0.0,2.0,1.0,112.0,0.0,3.0,3.0,26000.0,,
1680,"Chodská, Praha 2 - Vinohrady",1.0,3.0,0.0,0.0,2.0,119823.0,1.0,0.0,5002.0,14967.0,0.0,6.0,2.0,1.0,50.0760852160504,0.0,10.0,2.0,2569172300.0,0.0,0.0,14.4459783642508,90.0,88.0,1.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,0.0,35000.0,,
1681,"Komunardů, Praha 7 - Holešovice",1.0,1.0,0.0,1.0,2.0,120185.0,0.0,0.0,5007.0,14951.0,0.0,2.0,2.0,1.0,50.1027103639617,0.0,10.0,2.0,220362060.0,1.0,0.0,14.450166813211201,45.0,113.0,1.0,3468.0,0.0,1.0,6.0,112.0,0.0,0.0,0.0,18000.0,,
1682,"Gollové, Praha 5 - Hlubočepy",1.0,0.0,0.0,0.0,2.0,5197315.0,1.0,0.0,5005.0,13685.0,0.0,6.0,2.0,1.0,50.0284702528401,0.0,10.0,2.0,379389260.0,1.0,0.0,14.3601029166014,98.0,97.0,1.0,3468.0,0.0,0.0,6.0,112.0,1.0,0.0,1.0,34000.0,,
